month;urodzenia;zgony;malzenstwa;pop
2010-01-01;38.8;33.7;8.2;NA
2010-02-01;34.4;29.7;5.9;NA
2010-03-01;30.3;31.7;4.6;NA
2010-04-01;36.6;31.0;19.1;NA
2010-05-01;38.3;31.4;15.3;NA
2010-06-01;29.5;29.9;32.7;NA
2010-07-01;40.1;32.2;29.6;NA
2010-08-01;37.7;30.1;38.4;NA
2010-09-01;29.6;30.3;33.8;NA
2010-10-01;36.6;33.5;25.7;NA
2010-11-01;34.5;31.1;5.6;NA
2010-12-01;27.0;33.8;9.6;NA
2011-01-01;32.1;34.5;6.0;NA
2011-02-01;29.4;31.7;5.4;NA
2011-03-01;33.8;35.0;8.3;NA
2011-04-01;29.6;30.5;7.7;NA
2011-05-01;32.3;31.9;17.9;NA
2011-06-01;32.8;28.6;31.4;38526
2011-07-01;34.1;27.7;22.8;38532
2011-08-01;37.4;31.4;38.5;38537
2011-09-01;34.6;28.7;31.2;38543
2011-10-01;32.3;31.8;22.1;38542
2011-11-01;30.8;31.1;6.2;38541
2011-12-01;29.4;32.6;8.8;38538
2012-01-01;32.3;34.1;6.2;38536
2012-02-01;30.7;33.0;5.5;38533
2012-03-01;31.8;32.7;4.7;38532
2012-04-01;32.1;33.7;14.8;38530
2012-05-01;34.4;31.6;13.5;38532
2012-06-01;30.8;28.9;28.1;38534
2012-07-01;35.0;32.3;25.3;38536
2012-08-01;35.3;30.1;34.9;38541
2012-09-01;31.3;27.1;31.3;38545
2012-10-01;34.8;34.2;24.0;38544
2012-11-01;30.5;31.3;5.1;38543
2012-12-01;27.2;35.7;10.5;38533
2013-01-01;33.4;40.5;5.1;38525
2013-02-01;27.6;32.7;3.9;38518
2013-03-01;29.3;33.5;4.1;38512
2013-04-01;31.2;36.1;13.8;38506
2013-05-01;30.3;30.8;10.8;38503
2013-06-01;29.7;28.2;25.1;38502
2013-07-01;35.5;31.5;23.1;38505
2013-08-01;32.6;28.6;31.5;38507
2013-09-01;32.3;30.0;30.0;38507
2013-10-01;32.2;32.5;19.5;38506
2013-11-01;27.6;29.3;4.3;38503
2013-12-01;27.9;33.9;9.3;38496
2014-01-01;32.5;33.1;4.8;38494
2014-02-01;28.6;30.7;4.6;38491
2014-03-01;29.8;33.8;6.2;38486
2014-04-01;30.5;31.7;9.8;38483
2014-05-01;30.8;30.2;13.2;38483
2014-06-01;31.2;28.9;28.4;38484
2014-07-01;36.4;31.0;22.7;38488
2014-08-01;31.0;27.5;33.0;38490
2014-09-01;35.0;31.4;31.4;38492
2014-10-01;32.8;32.2;20.1;38491
2014-11-01;27.2;29.7;4.5;38487
2014-12-01;29.5;36.4;9.7;38479
2015-01-01;32.2;33.6;4.8;38476
2015-02-01;27.1;34.7;5.5;38467
2015-03-01;30.0;38.8;4.0;38458
2015-04-01;30.6;34.9;13.2;38452
2015-05-01;29.5;30.3;12.3;38450
2015-06-01;31.8;31.5;29.1;38449
2015-07-01;35.8;31.0;22.5;38453
2015-08-01;33.0;31.1;33.6;38453
2015-09-01;33.6;30.0;29.7;38455
2015-10-01;31.5;31.5;20.1;38453
2015-11-01;28.0;30.0;5.4;38447
2015-12-01;26.3;34.6;8.6;38437
2016-01-01;30.8;33.3;5.7;38435
2016-02-01;29.7;34.9;4.5;38430
2016-03-01;32.2;35.4;4.9;38427
2016-04-01;30.6;31.0;13.7;38427
2016-05-01;30.6;32.6;16.2;38425
2016-06-01;31.7;29.8;27.9;38427
2016-07-01;31.4;28.6;21.8;38430
2016-08-01;36.1;32.0;34.2;38434
2016-09-01;34.4;29.7;29.2;38439
2016-10-01;32.2;32.8;21.2;38438
2016-11-01;32.3;32.8;6.4;38438
2016-12-01;30.3;35.0;7.7;38433
2017-01-01;34.2;44.4;6.1;38423
2017-02-01;31.2;37.4;4.9;38417
2017-03-01;34.7;35.1;4.2;38416
2017-04-01;30.0;30.0;9.3;38416
2017-05-01;35.9;33.6;17.4;38419
2017-06-01;33.8;30.1;28.7;38422
2017-07-01;35.1;30.4;23.8;38427
2017-08-01;36.5;31.0;32.5;38433
2017-09-01;34.4;29.9;29.4;38438
2017-10-01;35.3;35.1;22.6;38438
2017-11-01;31.9;32.4;5.7;38438
2017-12-01;28.7;33.3;8.0;38434
2018-01-01;35.5;39.7;6.3;38429
2018-02-01;29.3;36.8;4.3;38422
2018-03-01;31.9;40.7;4.4;38414
2018-04-01;31.7;35.7;14.1;38410
2018-05-01;32.2;31.4;14.0;38411
2018-06-01;32.8;30.8;27.6;38413
2018-07-01;36.0;33.0;25.6;38416
