Code;Title
ASSISTIVETECH_TOTALNEED;Prevalence of need of assistive products (%)
ASSISTIVETECH_TRAVELDISTANCEAT;Travel distance to obtain assistive products (%)
ASSISTIVETECH_USEPREVALENCE;Prevalence of use of assistive products (%)
bcgv;(see vbgc)
bfearly;Early initiation of breastfeeding (in the two years preceding the survey) (%)
bmi30wm;Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)
BP_03;Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate)
BP_04;Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate)
BP_05;Mean systolic blood pressure (crude estimate)
BP_06;Mean systolic blood pressure (age-standardized estimate)
Camp_airtime;Process evaluation was employed to assess implementation
Camp_aud_research;Formative research was conducted prior to the campaign
Camp_eval_impact;Outcome evaluation was employed to assess effectiveness of the campaign
Camp_gov_prog;Campaign was part of a comprehensive tobacco control programme
Camp_mat_tested;Campaign was pre-tested
Camp_media_monitor;Process evaluation was employed to assess implementation of the campaign
Camp_media_planning;Campaign utilized media planning
Camp_nat;At least one national mass media campaign ran during the survey period
Camp_news;Earned media/public relations were used to promote the campaign
Camp_tv_radio;Campaign ran on both national television and radio
CARE_SEEK;Care-seeking by type of patient and source of care (%) (see CARE_SOURCE)
CARE_SOURCE;Care-seeking by type of patient and source of care (%)
carep;Children aged < 5 years with pneumonia symptoms taken to a health facility (%)
CaseCS;Congenital syphilis number of cases, reported
CATARACTSURGICAL;Cataract surgical coverage of adults aged 50 and over (%)
CATARACTSURGICALEFFECTIVE;Effective cataract surgical coverage of adults aged 50 and over (%)
CC_1;Climate change attributable deaths
CC_2;Climate change attributable DALYs ('000)
CC_3;Climate change attributable deaths per 100'000 capita
CC_4;Climate change attributable DALYs per 100'000 capita
CC_5;Climate change attributable deaths ('000) in children under 5 years
CC_6;Climate change  attributable deaths per 100'000 children under 5 years
CC_7;Climate change attributable DALYs ('000) in children under 5 years
CC_8;Climate change  attributable DALYs per 100'000 children under 5 years
CCH_SURVEY_AGREEMENT_MOH_OTHERSECTORS;Agreement in place between the Ministry of Health and other sector(s) in relation to health and climate change policy or programs
CCH_SURVEY_MOH_FOCALPOINT;Designation of a focal point responsible for health and climate change within the Ministry of Health
CCH_SURVEY_MULTISTAKEHOLDER_MECHANISM_EXISTS;Existence of a multi-stakeholder mechanism on health and climate change
CCH_SURVEY_PLAN_STRATEGY_DEVELOPED;National health and climate change plan or strategy developed
CCH_SURVEY_SURVEILLANCE_SYSTEM_EXISTS;Existence of an health surveillance system
CCH_SURVEY_SURVEILLANCE_WHICH_METEOROLOGICAL;Existence of a health surveillance system which includes meteorological information
CCH_SURVEY_VULNERABILITY_ADAPTATION_ASSESSMENT;Climate change and health vulnerability and adaptation assessment conducted
cci;Composite coverage index (%)
cci2030;(see cci)
CCO_1;Poverty headcount ratio at $1.25 a day (PPP) (% of population)
CCO_2;Human development index rank
CCO_3;Gender inequality index rank
CCO_WHS9_85;Literacy rate among adults aged >= 15 years (%) (void CCO_WHS9_85)
CHILDDEATH5TO14;Number of deaths among children 5 to 14 years of age
CHILDMORT_DEATHS_10TO14;Number of deaths among children ages 10 to 14 years
CHILDMORT_MORTALITY_10TO14;Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)
CHILDMORT10TO19;Adolescent mortality rate (per 1 000 age specific cohort)
CHILDMORT5TO14;Mortality rate among children ages 5 to 14 years of age
CHILDVIOL;Indicator 16.2.1: Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month
CHOLERA_0000000001;Number of reported cases of cholera
CHOLERA_0000000002;Number of reported deaths from cholera
CHOLERA_0000000003;Cholera case fatality rate
CM_01;Number of deaths among children under-five
CM_02;Number of infant deaths (between birth and 11 months)
CM_03;Number of neonatal deaths (0 to 27 days)
CM_04;Number of deaths among children ages 5 to 9 years
cpmo;(see cpmowho)
cpmowho;Contraceptive prevalence - use of modern methods (%)
cpmt;Contraceptive prevalence - use of modern and traditional methods (%)
csection;Births by caesarean section (in the two or three years preceding the survey) (%)
csection5;Births by caesarean section (in the five years preceding the survey) (%)
DEATHADO;Number of deaths among adolescents (10 to 19 years of age)
DEVICES00;Total density per 100 000 population: Hospitals
DEVICES01;Total density per 100 000 population: Health posts
DEVICES02;Total density per 100 000 population: Health centres
DEVICES03;Total density per 100 000 population: District/rural hospitals
DEVICES04;Total density per 100 000 population: Provincial hospitals
DEVICES05;Total density per 100 000 population: Specialized hospitals
DEVICES06;Availability of national standards or recommended lists of medical devices
DEVICES07;Types of lists recommending health technology for high burden diseases
DEVICES08;Total density per million population: Magnetic Resonance Imaging
DEVICES09;Total density per million population: Computed tomography units
DEVICES10;Total density per million population: Positron Emission tomography
DEVICES11;Total density per million population: Gamma camera or Nuclear medicine
DEVICES12;Total density per million population: Linear Accelerator
DEVICES13;Type of nomenclature system
DEVICES14;Use of nomenclature system
DEVICES15;Health technology (medical device) national policy
DEVICES16;Unit in the Ministry of Health responsible for the management of medical devices
DEVICES17;Procurement of medical devices carried out at the national level
DEVICES18;Availability of national list of approved medical devices for procurement or reimbursement
DEVICES19;National guidelines, policies or recommendations on the procurement of medical devices
DEVICES20;Availability of technical specifications of medical devices to support procurement or donations
DEVICES21;Total density per million population: Telecobalt Unit
DEVICES22;Total density per million population: Radiotherapy units
DEVICES23;Total density per million females aged from 50 to 69 years old: Mammography units
DEVICES24;National authority responsible for regulating medical devices
DEVICES25;National Health Technology Assessment (HTA) unit including the assessment of medical devices, and diagnostics
dptv;(see vdpt)
E_compl_all_dir;Overall compliance with bans on direct advertising (score)
E_compl_e_all_indir;Overall compliance with bans on promotion and sponsorship (score)
E_compl_e1;Compliance with ban on advertising on national television and radio (score)
E_compl_e10;Compliance with ban on promotional discounts (score)
E_compl_e11;Compliance with ban on use of brand name of non-tobacco product for tobacco product (score)
E_compl_e12;Compliance with ban on indentifying non-tobacco products with tobacco brand names (score)
E_compl_e13;Compliance with ban on appearance of tobacco brands in TV and/or films (score)
E_compl_e14;Compliance with ban on appearance of tobacco products in TV and/or films (score)
E_compl_e15;Compliance with ban on sponsorship (contributions and/or publicity of contributions) (score)
E_compl_e3;Compliance with ban on advertising in local magazines and newspapers (score)
E_compl_e5;Compliance with ban on billboard and outdoor advertising (score)
E_compl_e6;Compliance with ban on advertising at point of sale (score)
